INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 242/5000 | Policy Loss: 0.1627 | Value Loss: 0.0940
INFO:root:Epoch 243/5000 | Policy Loss: -0.1748 | Value Loss: 0.0275
INFO:root:Epoch 244/5000 | Policy Loss: -0.9540 | Value Loss: 0.0676
INFO:root:Epoch 245/5000 | Policy Loss: 0.1103 | Value Loss: 0.0253
INFO:root:Epoch 246/5000 | Policy Loss: -0.5166 | Value Loss: 0.0293
INFO:root:Epoch 247/5000 | Policy Loss: 0.1440 | Value Loss: 0.0202
INFO:root:Epoch 248/5000 | Policy Loss: 0.1141 | Value Loss: 0.0178
INFO:root:Epoch 249/5000 | Policy Loss: -0.3431 | Value Loss: 0.0500
INFO:root:Epoch 250/5000 | Policy Loss: 0.1717 | Value Loss: 0.0200
INFO:root:Epoch 251/5000 | Policy Loss: -0.0969 | Value Loss: 0.0160
INFO:root:Epoch 252/5000 | Policy Loss: -0.2032 | Value Loss: 0.0431
INFO:root:Epoch 253/5000 | Policy Loss: -0.2019 | Value Loss: 0.0123
INFO:root:Epoch 254/5000 | Policy Loss: -0.4257 | Value Loss: 0.0433
INFO:root:Epoch 255/5000 | Policy Loss: -0.0804 | Value Loss: 0.0533
INFO:root:Epoch 256/5000 | Policy Loss: 0.0800 | Value Loss: 0.0254
INFO:root:Epoch 257/5000 | Policy Loss: -0.4645 | Value Loss: 0.3563
INFO:root:Epoch 258/5000 | Policy Loss: -0.0855 | Value Loss: 0.0282
INFO:root:Epoch 259/5000 | Policy Loss: 0.0440 | Value Loss: 0.0383
INFO:root:Epoch 260/5000 | Policy Loss: -0.4007 | Value Loss: 0.0721
INFO:root:Epoch 260 evaluation score: 0.54
INFO:root:Epoch 261/5000 | Policy Loss: -0.1005 | Value Loss: 0.0359
INFO:root:Epoch 262/5000 | Policy Loss: -0.2770 | Value Loss: 0.0717
INFO:root:Epoch 263/5000 | Policy Loss: -0.4448 | Value Loss: 0.0759
INFO:root:Epoch 264/5000 | Policy Loss: 0.2984 | Value Loss: 0.0144
INFO:root:Epoch 265/5000 | Policy Loss: -0.1424 | Value Loss: 0.0272
INFO:root:Epoch 266/5000 | Policy Loss: 0.0107 | Value Loss: 0.0337
INFO:root:Epoch 267/5000 | Policy Loss: -0.1210 | Value Loss: 0.0385
INFO:root:Epoch 268/5000 | Policy Loss: -0.1597 | Value Loss: 0.0703
INFO:root:Epoch 269/5000 | Policy Loss: 0.1615 | Value Loss: 0.0174
INFO:root:Epoch 270/5000 | Policy Loss: -0.2211 | Value Loss: 0.0349
INFO:root:Epoch 271/5000 | Policy Loss: -0.6236 | Value Loss: 0.4724
INFO:root:Epoch 272/5000 | Policy Loss: -0.0909 | Value Loss: 0.0644
INFO:root:Epoch 273/5000 | Policy Loss: 0.0964 | Value Loss: 0.0592
INFO:root:Epoch 274/5000 | Policy Loss: -0.6195 | Value Loss: 0.0842
INFO:root:Epoch 275/5000 | Policy Loss: -0.4015 | Value Loss: 0.0925
INFO:root:Epoch 276/5000 | Policy Loss: -0.8539 | Value Loss: 0.2082
INFO:root:Epoch 277/5000 | Policy Loss: -0.5548 | Value Loss: 0.0811
INFO:root:Epoch 278/5000 | Policy Loss: 0.2577 | Value Loss: 0.0362
INFO:root:Epoch 279/5000 | Policy Loss: -0.3465 | Value Loss: 0.1201
INFO:root:Epoch 280/5000 | Policy Loss: 0.3465 | Value Loss: 0.0114
INFO:root:Epoch 280 evaluation score: 0.39
INFO:root:Epoch 281/5000 | Policy Loss: 0.1752 | Value Loss: 0.0185
INFO:root:Epoch 282/5000 | Policy Loss: -0.5167 | Value Loss: 0.0600
INFO:root:Epoch 283/5000 | Policy Loss: 0.1974 | Value Loss: 0.0246
INFO:root:Epoch 284/5000 | Policy Loss: -0.3906 | Value Loss: 0.0281
INFO:root:Epoch 285/5000 | Policy Loss: -0.2865 | Value Loss: 0.0547
INFO:root:Epoch 286/5000 | Policy Loss: -0.0373 | Value Loss: 0.0556
INFO:root:Epoch 287/5000 | Policy Loss: -0.4093 | Value Loss: 0.0271
INFO:root:Epoch 288/5000 | Policy Loss: -0.2472 | Value Loss: 0.0285
INFO:root:Epoch 289/5000 | Policy Loss: -0.3399 | Value Loss: 0.1299
INFO:root:Epoch 290/5000 | Policy Loss: -0.2542 | Value Loss: 0.0582
INFO:root:Epoch 291/5000 | Policy Loss: -0.7288 | Value Loss: 0.0428
INFO:root:Epoch 292/5000 | Policy Loss: -0.1921 | Value Loss: 0.4620
INFO:root:Epoch 293/5000 | Policy Loss: 0.0260 | Value Loss: 0.0287
INFO:root:Epoch 294/5000 | Policy Loss: 0.2723 | Value Loss: 0.0558
INFO:root:Epoch 295/5000 | Policy Loss: -0.2492 | Value Loss: 0.0296
INFO:root:Epoch 296/5000 | Policy Loss: 0.0451 | Value Loss: 0.0489
INFO:root:Epoch 297/5000 | Policy Loss: -0.2635 | Value Loss: 0.2140
INFO:root:Epoch 298/5000 | Policy Loss: -0.8565 | Value Loss: 0.3938
INFO:root:Epoch 299/5000 | Policy Loss: -0.2877 | Value Loss: 0.0329
INFO:root:Epoch 300/5000 | Policy Loss: 0.2638 | Value Loss: 0.0364
INFO:root:Epoch 300 evaluation score: 0.55
INFO:root:Epoch 301/5000 | Policy Loss: -1.5207 | Value Loss: 0.1946
INFO:root:Epoch 302/5000 | Policy Loss: -0.1726 | Value Loss: 0.0510
INFO:root:Epoch 303/5000 | Policy Loss: -0.2168 | Value Loss: 0.0374
INFO:root:Epoch 304/5000 | Policy Loss: -0.2033 | Value Loss: 0.0660
INFO:root:Epoch 305/5000 | Policy Loss: -0.4600 | Value Loss: 0.0921
INFO:root:Epoch 306/5000 | Policy Loss: 0.4312 | Value Loss: 0.0498
INFO:root:Epoch 307/5000 | Policy Loss: 0.1007 | Value Loss: 0.0336
INFO:root:Epoch 308/5000 | Policy Loss: -0.2504 | Value Loss: 0.1281
INFO:root:Epoch 309/5000 | Policy Loss: 0.2715 | Value Loss: 0.0273
INFO:root:Epoch 310/5000 | Policy Loss: -0.0202 | Value Loss: 0.0211
INFO:root:Epoch 311/5000 | Policy Loss: -0.1057 | Value Loss: 0.0878
INFO:root:Epoch 312/5000 | Policy Loss: -0.5772 | Value Loss: 0.3663
INFO:root:Epoch 313/5000 | Policy Loss: 0.2330 | Value Loss: 0.0890
INFO:root:Epoch 314/5000 | Policy Loss: 0.1208 | Value Loss: 0.0570
